,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
66,-2,3300,STARFRUIT,4997,2,4996.0,30.0,,,5001,2,5003.0,32.0,,,4999.0,-63.0390625
67,-2,3300,AMETHYSTS,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0,-86.0
68,-2,3400,STARFRUIT,4997,26,,,,,5003,2,5004.0,24.0,,,5000.0,-57.8828125
69,-2,3400,AMETHYSTS,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0,-86.0
70,-2,3500,STARFRUIT,4997,26,,,,,5004,26,,,,,5000.5,-56.375
71,-2,3500,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,-86.0
72,-2,3600,AMETHYSTS,9995,21,,,,,9998,4,10005.0,21.0,,,9996.5,-86.0
73,-2,3600,STARFRUIT,4997,21,,,,,5004,21,,,,,5000.5,-54.359375
74,-2,3700,STARFRUIT,4998,3,4997.0,24.0,,,5004,24,,,,,5001.0,-55.5859375
75,-2,3700,AMETHYSTS,10002,1,9996.0,1.0,9995.0,23.0,10004,1,10005.0,23.0,,,10003.0,-86.0
76,-2,3800,STARFRUIT,4997,25,,,,,5004,25,,,,,5000.5,-49.375
77,-2,3800,AMETHYSTS,9996,2,9995.0,23.0,,,10002,10,10004.0,2.0,10005.0,23.0,9999.0,-86.0
78,-2,3900,STARFRUIT,4998,2,4997.0,26.0,,,5003,1,5004.0,25.0,,,5000.5,-57.4921875
79,-2,3900,AMETHYSTS,9998,1,9996.0,1.0,9995.0,25.0,10004,1,10005.0,25.0,,,10001.0,-86.0
80,-2,4000,AMETHYSTS,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0,-86.0
81,-2,4000,STARFRUIT,4997,32,,,,,5003,2,5004.0,30.0,,,5000.0,-60.53125
82,-2,4100,STARFRUIT,4997,29,,,,,5003,2,5004.0,27.0,,,5000.0,-58.8046875
83,-2,4100,AMETHYSTS,9996,2,9995.0,27.0,,,10004,2,10005.0,27.0,,,10000.0,-86.0
84,-2,4200,STARFRUIT,4998,2,4997.0,24.0,,,5004,26,,,,,5001.0,-45.8984375
85,-2,4200,AMETHYSTS,9996,2,9995.0,24.0,,,10002,4,10004.0,2.0,10005.0,24.0,9999.0,-86.0
86,-2,4300,STARFRUIT,4998,7,4997.0,22.0,,,5000,5,5004.0,22.0,,,4999.0,-51.390625
87,-2,4300,AMETHYSTS,9995,22,,,,,9998,1,10000.0,6.0,10005.0,22.0,9996.5,-86.0
88,-2,4400,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,-86.0
89,-2,4400,STARFRUIT,4997,30,,,,,5004,30,,,,,5000.5,-59.1484375
90,-2,4500,STARFRUIT,4996,28,,,,,5003,29,,,,,4999.5,-63.203125
91,-2,4500,AMETHYSTS,9996,1,9995.0,28.0,,,10002,10,10004.0,1.0,10005.0,28.0,9999.0,-86.0
92,-2,4600,STARFRUIT,4997,30,,,,,5004,30,,,,,5000.5,-56.265625
93,-2,4600,AMETHYSTS,9996,1,9995.0,29.0,,,10002,10,10004.0,1.0,10005.0,29.0,9999.0,-86.0
94,-2,4700,STARFRUIT,4997,32,,,,,4998,7,5002.0,3.0,5003.0,2.0,4997.5,-57.96875
95,-2,4700,AMETHYSTS,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0,-86.0
96,-2,4800,AMETHYSTS,9998,6,9996.0,2.0,9995.0,22.0,10004,2,10005.0,22.0,,,10001.0,-86.0
97,-2,4800,STARFRUIT,4997,24,,,,,5004,24,,,,,5000.5,-48.484375
98,-2,4900,STARFRUIT,4996,22,,,,,5003,22,,,,,4999.5,-61.921875
99,-2,4900,AMETHYSTS,9995,22,,,,,10002,7,10005.0,22.0,,,9998.5,-86.0
100,-2,5000,STARFRUIT,4997,30,,,,,5004,30,,,,,5000.5,-53.84375
101,-2,5000,AMETHYSTS,9998,3,9996.0,2.0,9995.0,28.0,10004,2,10005.0,28.0,,,10001.0,-86.0
102,-2,5100,STARFRUIT,4998,7,4997.0,30.0,,,5004,31,,,,,5001.0,-46.4375
103,-2,5100,AMETHYSTS,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,-86.0
104,-2,5200,AMETHYSTS,9998,9,9996.0,1.0,9995.0,26.0,10004,1,10005.0,26.0,,,10001.0,-86.0
105,-2,5200,STARFRUIT,4998,8,4997.0,27.0,,,5003,1,5004.0,26.0,,,5000.5,-56.6328125
106,-2,5300,STARFRUIT,5002,1,4997.0,21.0,,,5004,21,,,,,5003.0,-55.5390625
107,-2,5300,AMETHYSTS,9996,1,9995.0,20.0,,,10004,1,10005.0,20.0,,,10000.0,-86.0
108,-2,5400,STARFRUIT,4997,21,,,,,5002,6,5004.0,21.0,,,4999.5,-46.84375
109,-2,5400,AMETHYSTS,9995,21,,,,,10005,21,,,,,10000.0,-86.0
110,-2,5500,AMETHYSTS,9995,27,,,,,10005,27,,,,,10000.0,-86.0
111,-2,5500,STARFRUIT,4997,27,,,,,5004,27,,,,,5000.5,-46.21875
112,-2,5600,STARFRUIT,5002,2,4998.0,28.0,,,5005,28,,,,,5003.5,-39.0625
113,-2,5600,AMETHYSTS,9995,28,,,,,10005,28,,,,,10000.0,-86.0
114,-2,5700,STARFRUIT,4999,26,,,,,5006,27,,,,,5002.5,-22.0390625
115,-2,5700,AMETHYSTS,9998,2,9995.0,27.0,,,10005,27,,,,,10001.5,-86.0
116,-2,5800,STARFRUIT,4999,31,,,,,5006,31,,,,,5002.5,-20.0859375
117,-2,5800,AMETHYSTS,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,-86.0
118,-2,5900,AMETHYSTS,9996,2,9995.0,28.0,,,10004,2,10005.0,28.0,,,10000.0,-86.0
119,-2,5900,STARFRUIT,5000,5,4999.0,30.0,,,5005,2,5006.0,28.0,,,5002.5,-22.1171875
120,-2,6000,STARFRUIT,4998,30,,,,,5005,30,,,,,5001.5,-27.6640625
121,-2,6000,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,-86.0
122,-2,6100,STARFRUIT,4999,24,,,,,5005,1,5006.0,24.0,,,5002.0,-23.03125
123,-2,6100,AMETHYSTS,9996,1,9995.0,24.0,,,10004,1,10005.0,24.0,,,10000.0,-86.0
124,-2,6200,STARFRUIT,4999,22,,,,,5005,1,5006.0,21.0,,,5002.0,-24.453125
125,-2,6200,AMETHYSTS,9996,1,9995.0,21.0,,,10004,1,10005.0,21.0,,,10000.0,-86.0
126,-2,6300,AMETHYSTS,9996,2,9995.0,23.0,,,10004,2,10005.0,23.0,,,10000.0,-86.0
127,-2,6300,STARFRUIT,4999,7,4998.0,23.0,,,5005,25,,,,,5002.0,-25.75
128,-2,6400,STARFRUIT,4999,1,4998.0,24.0,,,5005,25,,,,,5002.0,-26.5234375
129,-2,6400,AMETHYSTS,9996,1,9995.0,24.0,,,10004,1,10005.0,24.0,,,10000.0,-86.0
130,-2,6500,STARFRUIT,4999,27,,,,,5005,1,5006.0,26.0,,,5002.0,-21.875
131,-2,6500,AMETHYSTS,9996,1,9995.0,26.0,,,9998,1,10004.0,1.0,10005.0,26.0,9997.0,-86.0
132,-2,6600,STARFRUIT,4998,26,,,,,5005,26,,,,,5001.5,-29.53125
133,-2,6600,AMETHYSTS,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0,-86.0
134,-2,6700,AMETHYSTS,9995,20,,,,,10002,3,10005.0,20.0,,,9998.5,-86.0
135,-2,6700,STARFRUIT,4999,7,4998.0,20.0,,,5005,20,,,,,5002.0,-40.5234375
136,-2,6800,STARFRUIT,4997,32,,,,,5002,8,5003.0,2.0,5004.0,30.0,4999.5,-57.9921875
137,-2,6800,AMETHYSTS,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0,-86.0
138,-2,6900,STARFRUIT,4997,27,,,,,5002,1,5004.0,27.0,,,4999.5,-49.4140625
139,-2,6900,AMETHYSTS,9996,1,9995.0,26.0,,,10002,5,10004.0,1.0,10005.0,26.0,9999.0,-86.0
140,-2,7000,STARFRUIT,5002,4,4997.0,27.0,,,5004,27,,,,,5003.0,-48.8984375
141,-2,7000,AMETHYSTS,9998,2,9995.0,27.0,,,10005,27,,,,,10001.5,-86.0
142,-2,7100,AMETHYSTS,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0,-86.0
143,-2,7100,STARFRUIT,4998,30,,,,,5005,30,,,,,5001.5,-38.078125
144,-2,7200,STARFRUIT,4998,28,,,,,5005,28,,,,,5001.5,-38.15625
145,-2,7200,AMETHYSTS,9998,5,9996.0,1.0,9995.0,27.0,10004,1,10005.0,27.0,,,10001.0,-86.0
146,-2,7300,STARFRUIT,4998,6,4997.0,29.0,,,5004,31,,,,,5001.0,-43.5
147,-2,7300,AMETHYSTS,10002,1,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,,,10003.0,-86.0
148,-2,7400,STARFRUIT,4998,22,,,,,5004,1,5005.0,22.0,,,5001.0,-40.078125
149,-2,7400,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,-86.0
150,-2,7500,AMETHYSTS,9995,25,,,,,10002,10,10005.0,25.0,,,9998.5,-86.0
151,-2,7500,STARFRUIT,4998,25,,,,,5005,25,,,,,5001.5,-40.640625
152,-2,7600,STARFRUIT,4997,22,,,,,5004,22,,,,,5000.5,-49.6640625
153,-2,7600,AMETHYSTS,9996,2,9995.0,20.0,,,10004,2,10005.0,20.0,,,10000.0,-86.0
154,-2,7700,AMETHYSTS,9995,22,,,,,10005,22,,,,,10000.0,-86.0
155,-2,7700,STARFRUIT,4997,21,,,,,5004,22,,,,,5000.5,-56.015625
156,-2,7800,AMETHYSTS,9998,3,9996.0,1.0,9995.0,22.0,10004,1,10005.0,22.0,,,10001.0,-86.0
157,-2,7800,STARFRUIT,4998,1,4997.0,22.0,,,5004,23,,,,,5001.0,-43.359375
158,-2,7900,AMETHYSTS,9996,1,9995.0,26.0,,,10004,1,10005.0,26.0,,,10000.0,-86.0
159,-2,7900,STARFRUIT,4999,4,4998.0,27.0,,,5004,1,5005.0,26.0,,,5001.5,-40.8359375
160,-2,8000,STARFRUIT,4998,27,,,,,5003,8,5005.0,27.0,,,5000.5,-37.8671875
161,-2,8000,AMETHYSTS,9995,27,,,,,10005,27,,,,,10000.0,-86.0
162,-2,8100,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,-86.0
163,-2,8100,STARFRUIT,4998,23,,,,,5004,1,5005.0,22.0,,,5001.0,-39.859375
164,-2,8200,AMETHYSTS,9995,23,,,,,10005,23,,,,,10000.0,-86.0
165,-2,8200,STARFRUIT,4997,23,,,,,5002,1,5004.0,23.0,,,4999.5,-44.8203125
166,-2,8300,AMETHYSTS,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0,-86.0
167,-2,8300,STARFRUIT,4998,30,,,,,5005,30,,,,,5001.5,-38.4375
168,-2,8400,STARFRUIT,4998,28,,,,,5005,28,,,,,5001.5,-39.203125
169,-2,8400,AMETHYSTS,9995,28,,,,,10005,28,,,,,10000.0,-86.0
170,-2,8500,AMETHYSTS,9998,10,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,,,10001.0,-86.0
171,-2,8500,STARFRUIT,4998,2,4997.0,29.0,,,5004,31,,,,,5001.0,-44.671875
172,-2,8600,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,-86.0
173,-2,8600,STARFRUIT,4997,22,,,,,5004,23,,,,,5000.5,-45.6484375
174,-2,8700,AMETHYSTS,9998,10,9995.0,27.0,,,10005,27,,,,,10001.5,-86.0
175,-2,8700,STARFRUIT,4997,27,,,,,5002,4,5004.0,27.0,,,4999.5,-52.1484375
176,-2,8800,STARFRUIT,4998,7,4997.0,25.0,,,5004,25,,,,,5001.0,-50.8046875
177,-2,8800,AMETHYSTS,9995,25,,,,,9998,1,10005.0,25.0,,,9996.5,-86.0
178,-2,8900,AMETHYSTS,9998,9,9995.0,26.0,,,10005,26,,,,,10001.5,-86.0
179,-2,8900,STARFRUIT,4999,1,4998.0,26.0,,,5005,26,,,,,5002.0,-42.71875
180,-2,9000,AMETHYSTS,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0,-86.0
181,-2,9000,STARFRUIT,4997,31,,,,,5004,31,,,,,5000.5,-48.734375
182,-2,9100,AMETHYSTS,9998,3,9996.0,2.0,9995.0,27.0,10004,2,10005.0,27.0,,,10001.0,-86.0
183,-2,9100,STARFRUIT,4998,29,,,,,5005,29,,,,,5001.5,-38.5
184,-2,9200,STARFRUIT,4997,27,,,,,5002,7,5004.0,27.0,,,4999.5,-43.296875
185,-2,9200,AMETHYSTS,9998,10,9995.0,27.0,,,10005,27,,,,,10001.5,-86.0
186,-2,9300,AMETHYSTS,9996,1,9995.0,20.0,,,10004,1,10005.0,20.0,,,10000.0,-86.0
187,-2,9300,STARFRUIT,4998,21,,,,,5004,1,5005.0,20.0,,,5001.0,-42.21875
188,-2,9400,AMETHYSTS,9998,2,9996.0,2.0,9995.0,21.0,10004,2,10005.0,21.0,,,10001.0,-86.0
189,-2,9400,STARFRUIT,4997,23,,,,,5004,23,,,,,5000.5,-48.2265625
190,-2,9500,AMETHYSTS,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,-86.0
191,-2,9500,STARFRUIT,4998,4,4997.0,31.0,,,5004,31,,,,,5001.0,-49.8359375
192,-2,9600,STARFRUIT,4997,31,,,,,5004,31,,,,,5000.5,-49.515625
193,-2,9600,AMETHYSTS,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,-86.0
194,-2,9700,AMETHYSTS,9995,22,,,,,10002,1,10005.0,22.0,,,9998.5,-86.0
195,-2,9700,STARFRUIT,4997,22,,,,,5004,22,,,,,5000.5,-52.640625
196,-2,9800,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,-86.0
197,-2,9800,STARFRUIT,4997,26,,,,,5004,26,,,,,5000.5,-57.6953125
198,-2,9900,AMETHYSTS,9995,25,,,,,10005,25,,,,,10000.0,-86.0
199,-2,9900,STARFRUIT,5001,4,4996.0,25.0,,,5003,25,,,,,5002.0,-62.5703125
200,-2,10000,STARFRUIT,4997,8,4996.0,28.0,,,5003,28,,,,,5000.0,-68.4765625
201,-2,10000,AMETHYSTS,9995,28,,,,,10005,28,,,,,10000.0,-86.0
202,-2,10100,STARFRUIT,4996,1,4995.0,24.0,,,5002,25,,,,,4999.0,-79.75
203,-2,10100,AMETHYSTS,9996,1,9995.0,24.0,,,10002,3,10004.0,1.0,10005.0,24.0,9999.0,-86.0
204,-2,10200,AMETHYSTS,9996,2,9995.0,26.0,,,10004,2,10005.0,26.0,,,10000.0,-86.0
205,-2,10200,STARFRUIT,4996,2,4995.0,26.0,,,5002,28,,,,,4999.0,-81.6484375
206,-2,10300,STARFRUIT,5001,1,4997.0,8.0,4996.0,27.0,5003,27,,,,,5002.0,-78.7890625
207,-2,10300,AMETHYSTS,9998,4,9995.0,27.0,,,10005,27,,,,,10001.5,-86.0
208,-2,10400,STARFRUIT,4997,1,4996.0,29.0,,,5003,29,,,,,5000.0,-72.28125
209,-2,10400,AMETHYSTS,10002,1,9996.0,1.0,9995.0,28.0,10004,1,10005.0,28.0,,,10003.0,-86.0
210,-2,10500,STARFRUIT,4996,31,,,,,5003,31,,,,,4999.5,-67.6640625
211,-2,10500,AMETHYSTS,9998,4,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,,,10001.0,-86.0
212,-2,10600,AMETHYSTS,9996,2,9995.0,29.0,,,10000,4,10004.0,2.0,10005.0,29.0,9998.0,-86.0
213,-2,10600,STARFRUIT,4997,31,,,,,5000,4,5002.0,4.0,5004.0,31.0,4998.5,-50.0546875
214,-2,10700,STARFRUIT,4998,1,4997.0,28.0,,,5004,28,,,,,5001.0,-47.78125
215,-2,10700,AMETHYSTS,9998,8,9995.0,28.0,,,10005,28,,,,,10001.5,-86.0
216,-2,10800,STARFRUIT,4998,3,4997.0,24.0,,,5004,24,,,,,5001.0,-51.0703125
217,-2,10800,AMETHYSTS,9998,5,9996.0,2.0,9995.0,22.0,10004,2,10005.0,22.0,,,10001.0,-86.0
218,-2,10900,STARFRUIT,4999,7,4998.0,28.0,,,5005,28,,,,,5002.0,-37.65625
219,-2,10900,AMETHYSTS,9996,1,9995.0,27.0,,,10004,1,10005.0,27.0,,,10000.0,-86.0
220,-2,11000,AMETHYSTS,9995,24,,,,,10002,7,10005.0,24.0,,,9998.5,-86.0
221,-2,11000,STARFRUIT,5002,7,4997.0,24.0,,,5004,24,,,,,5003.0,-45.1875
222,-2,11100,STARFRUIT,4998,21,,,,,5005,21,,,,,5001.5,-38.25
223,-2,11100,AMETHYSTS,9998,3,9995.0,21.0,,,10005,21,,,,,10001.5,-86.0
224,-2,11200,STARFRUIT,4998,2,4997.0,21.0,,,5004,23,,,,,5001.0,-45.1171875
225,-2,11200,AMETHYSTS,9996,2,9995.0,21.0,,,10002,7,10004.0,2.0,10005.0,21.0,9999.0,-86.0
226,-2,11300,STARFRUIT,4999,3,4998.0,22.0,,,5004,1,5005.0,21.0,,,5001.5,-42.59375
227,-2,11300,AMETHYSTS,9996,1,9995.0,21.0,,,10004,1,10005.0,21.0,,,10000.0,-86.0
228,-2,11400,AMETHYSTS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,-86.0
229,-2,11400,STARFRUIT,4997,26,,,,,5003,1,5004.0,25.0,,,5000.0,-56.7265625
230,-2,11500,STARFRUIT,4997,26,,,,,5002,8,5004.0,26.0,,,4999.5,-50.296875
231,-2,11500,AMETHYSTS,9996,1,9995.0,25.0,,,10002,7,10004.0,1.0,10005.0,25.0,9999.0,-86.0
232,-2,11600,STARFRUIT,4997,29,,,,,5004,29,,,,,5000.5,-51.4375
233,-2,11600,AMETHYSTS,9996,2,9995.0,27.0,,,10002,2,10004.0,2.0,10005.0,27.0,9999.0,-86.0
234,-2,11700,STARFRUIT,4997,23,,,,,4998,2,5003.0,2.0,5004.0,21.0,4997.5,-58.3984375
235,-2,11700,AMETHYSTS,9996,2,9995.0,21.0,,,10004,2,10005.0,21.0,,,10000.0,-86.0
236,-2,11800,AMETHYSTS,9998,10,9995.0,29.0,,,10000,5,10005.0,29.0,,,9999.0,-86.0
237,-2,11800,STARFRUIT,4997,29,,,,,5000,4,5004.0,29.0,,,4998.5,-46.375
238,-2,11900,STARFRUIT,4998,32,,,,,5003,3,5004.0,2.0,5005.0,30.0,5000.5,-40.8984375
239,-2,11900,AMETHYSTS,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0,-86.0
240,-2,12000,STARFRUIT,4998,20,,,,,5005,20,,,,,5001.5,-40.5859375
241,-2,12000,AMETHYSTS,10002,1,9995.0,20.0,,,10005,20,,,,,10003.5,-86.0
242,-2,12100,STARFRUIT,4998,2,4997.0,25.0,,,5002,1,5004.0,27.0,,,5000.0,-45.9453125
243,-2,12100,AMETHYSTS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,-86.0
244,-2,12200,AMETHYSTS,9996,2,9995.0,28.0,,,10004,2,10005.0,28.0,,,10000.0,-86.0
245,-2,12200,STARFRUIT,4998,6,4997.0,28.0,,,5004,30,,,,,5001.0,-46.265625
246,-2,12300,STARFRUIT,4998,1,4997.0,28.0,,,5004,29,,,,,5001.0,-47.453125
247,-2,12300,AMETHYSTS,9998,6,9996.0,1.0,9995.0,28.0,10004,1,10005.0,28.0,,,10001.0,-86.0
248,-2,12400,STARFRUIT,4999,4,4998.0,26.0,,,5005,26,,,,,5002.0,-42.28125
249,-2,12400,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,-86.0
250,-2,12500,STARFRUIT,4998,19,,,,,5005,20,,,,,5001.5,-36.5625
251,-2,12500,AMETHYSTS,9995,20,,,,,10005,20,,,,,10000.0,-86.0
252,-2,12600,AMETHYSTS,9995,22,,,,,10005,22,,,,,10000.0,-86.0
253,-2,12600,STARFRUIT,4998,22,,,,,5005,22,,,,,5001.5,-41.3671875
254,-2,12700,STARFRUIT,4998,2,4997.0,20.0,,,5004,22,,,,,5001.0,-45.3203125
